no,칸,문장,판정(positive/negative/neutral),메모
47,단점,부서원과 교류하여 기본적 팀웍 갖출 필요있음,,
48,단점,너무 열정적이어서 보완 필요성이 없음,,
49,장점,열심히 하려고 노력하심,,
50,장점,전문성을 거지고 열심히 일한다,,
51,단점,업무에 대한 지식이 높아 작은 의견들을 소홀히 여김,,
52,장점,직원들과 원활한 소통으로 업무효율을 높입니다,,
53,단점,"민원 응대 및 해결능력, 고객의 니즈 파악, 고객의 관점에서 조언",,
54,장점,업무에 성실하고 상대방에 대한 배려심,,
55,장점,"모두에게 친절하며 업무교육을 상세히 알려주시며, 주변을 긍정적인 시선으로 바라보고자 함",,
56,장점,"직원간 우애가 좋고, 주어진 업무를 성실히 완수합니다",,
57,장점,성실히 업무에 임하고 열정적입니다,,
58,장점,적극적인 업무추진으로 건설업무 수행,,
59,장점,모든 일에 높은 집중력을 보이며 열정적으로 업무를 처리함,,
60,장점,"소통과 공감능력, 업무추진력",,
61,장점,업무에 열의가 있고 책임감있게 업무를 진행함,,
62,장점,업무에 열의가 높으며 협업을 잘함,,
63,단점,특별히 보완할점이 크지않음,,
64,단점,"업무에 데이터 활용, 새로운 소프트웨어 활용",,
65,장점,공사설계 등 업무추진 속도 우수,,
66,단점,자주 소통하는 기회를 더 만들어 주셨으면 좋겠습니다,,
67,장점,꼼꼼하여 부서를 잘 챙기고 있다,,
68,장점,"선로고장 시 평일 및 주말을 가리지 않으며, 우천 및 기상악화 시 선로순시를 시행하여 선로 사고예방을 위해 최선을 다하셨습니다",,
69,장점,구성원들과 원만한 관계를 유지함,,
70,장점,다양한 경험으로 모르는 직무가 없고 다방면에 지식이 많아 문제해결 등 업무적으로 큰도움이 됨,,
71,장점,뛰어난 업무능력을 가지고 있음,,
72,장점,사우들끼리 잘지내며 업무에 협업이 뛰어나다,,
73,단점,저하된 의욕과 선택적 책임감,,
74,장점,직원들과의 수평적 관계,,
75,장점,업무에 있어 중요한 핵심을 파악하십니다,,
76,장점,"업무에 열정적이며, 안전업무에 최선을 다함",,
77,장점,부드러운 리더십으로 업무를 합니다,,
78,단점,업무에 대한 유연한 대처능력 부족,,
79,장점,모든업무에 항상 꼼곰하게 잘챙겨주십니다,,
80,단점,고압적으로 세세하게 지시함,,
81,장점,맡은 바 책임감을 가지고 업무를 끝까지 수행해 냄,,
82,장점,결재가 대체로 빠름,,
83,단점,맡은 일을 넘기는 경향이 있음,,
84,장점,문제의 핵심을 정확히 인지,,
85,단점,업무에 대한 다른 부서와의 협조성이 필요함,,
86,장점,본부와 유대 관계가 좋음,,
87,장점,"변전 정비, 순회업무,급전업무를 고루 정통함",,
88,장점,뛰어난 어학역량 보유로 해외사업에 전문성 보유,,
89,장점,업무에 열의가 가득하고 업무 처리속도가 빠름,,
90,장점,매사 업무에 적극적인 태도를 보임,,
91,장점,"창의적 도전, 혁신적 아이디어 제시",,
92,단점,수평적인 의사소통 보완,,
93,단점,대인관계력 개선이 필요합니다,,
94,단점,다양한 부서별 파트별 지식,,
95,단점,보완 필요 점 없습니다,,
96,장점,"상대방에 대한 존중, 배려의 조직문화를 이끌고 공정한 직무수행여건을 조성하며, 이해관계자와 소통과 협력을 통한 청렴문화 전파에 앞정서는 윤리의식과 준법정신이 투철한 리더입니다",,
97,단점,딱히 단점은 보이지 않음,,
98,단점,협업해서 하는 보완 필요,,
99,장점,상대방의 이해와 업무에 대한 관심이 높음,,
100,장점,민원응대시 친절하며 적극적 자세를 보임,,
101,단점,"선배에게는 하대하며, 후배에게는 존중하라고 강요함",,
102,장점,부드러운 리더쉽을 가지셨습니다,,
103,장점,업무에 경험과 열의를다함,,
104,장점,직원들과 잘 소통 하는 모습이 좋습니다,,
105,단점,새로운 소프트웨어 활용 및 데이터 활용능력 부족,,
106,단점,업무 결과물에 보완 필요 및 소통 부족,,
107,장점,업무처리 능력과 스킬이 뛰어남,,
108,장점,전력사업처 발전을 위한 명확한 목표를 제시하고 솔선수범의 리더십을 발휘하여 구성원의 역량을 최대한 이끌어 내어 성과달성을 이룩하며 구성원과의 소통을 통해 화목한 직장 분위기 조성에 힘쓰고 있습니다,,
109,단점,주무차장으로서의 역량은 다소 부족함,,
110,장점,잘 소통하며 책임감 있는 업무처리가 돋보임,,
111,장점,직원들의 의견을 많이 수렴해주시고 적극적인 업무 대응,,
112,단점,적극적인 업무열의와 구성원간 적극적인 소통이 필요함,,
113,단점,본인 업무만 하려고 한다,,
114,단점,가끔 개그가 재미없을 때도 있습니다,,
115,단점,업무협업을 통해 우선순위를 정하여 해결책 제시,,
116,장점,맡은바 업무를 최선을 다함,,
117,장점,자신의 업무분야에서 전문가 되고자 끊임없으 노력함,,
118,장점,긍정적 마인드으로 업무처리를 하십니다,,
119,장점,많은 업무경험을 바탕으로 처음으로 업무를 하는 직원들에게 쉽게 업무적으로 적응하도록 도움을 준다,,
120,장점,적극적인 리더십과  직원앞에서 솔선수범이 인상적임,,
121,장점,"Pjt 팀장으로서 구성원의 업무 효율 향상 및 문제해결에 앞장서서 노력하며, 구성원들과의 원활한 소통을 통해 팀웍 향상에 기여함",,
122,장점,능숙한 배전운영 업무 수행,,
123,장점,솔선수범 책임감 강함,,
124,장점,팀장으로써 팀을 잘이끌어감,,
125,장점,업무에 있어 궁금한 사항이나 어려운 점들을 도와주며 함께 해결함,,
126,단점,배우려는 의지가 강하고 모든 일에 성실하게 임함,,
127,장점,맡은 바 업무에 충실하고 사명감이 투철함,,
128,장점,업무 협조 요청시 객관적인 입장에서 요청,,
129,장점,부서내 직원과의 친화력과 고객에 대한 공감능력이 뛰어남,,
130,단점,열의를 더 개발해야 할 듯,,
131,장점,"해당 분야 오랜 경험으로 업무 노하우가 많으시며, 수평적인 업무지시로 리더십이 있음",,
132,장점,운영차장으로써 업무능력 및 직원과 소통이 좋음,,
133,단점,주변의 업무에대한 협업능력이 부족함,,
134,단점,직원과 대화 시 하대는 아니나 반말을 주로 사용함,,
135,단점,전체적인 화합과 소통이 필요,,
136,단점,대인관계 향상 노력이 필요함,,
137,장점,투철한 책임의식과 추진력을 가지고 있음,,
138,장점,업무에 대한 열의가 높으며 협업능력이 높음,,
139,장점,해당분야 오랜 경험 / 솔선수범하는 자세 / 폭넓은 지식,,
140,장점,조용하지만 신속하게 업무처리,,
141,장점,"탁월한 리더십으로 부서를 이끌고, 조직원 역량을 극대화하는데 뛰어남",,
142,단점,직원들과 소통하고 화합함,,
143,장점,차분하고 성실한 근무자세,,
144,단점,대인관계능력부족,,
145,단점,유머가 있었으면 좋겠음,,
146,장점,타 업무에 대한 경험을 활용하여 업무를 훌륭히 수행함,,
147,장점,ICT분야 업무지식이 탁월함,,
148,장점,매사에 적극적이며 구체적 업무지시를 함,,
149,장점,열정적이고 열심히 일하심,,
150,장점,같은 동료로서 고충을 헤아려주고 같이 해결해주심,,
151,장점,부드러운 리더십과  구성원의 자발적 참여유도,,
152,장점,업무지식과 역량이 뛰어나고 공감력이 높음,,
153,장점,"정확한 업무지식에 기반한 정확한 업무지시를 하며, 규정과 실제업무간의 간극을 이해하며 합리적인 방안을 제시함",,
154,단점,상황변화에 대한 인식능력 배양필요,,
155,장점,"적극적, 열심히 한다",,
156,단점,노련한 업무수행능력을 바탕으로 기타 협업에 노력을 아끼지 않음,,
157,단점,그렇지만 노력에 비해 성과가 적은 편임,,
158,단점,전략 및 계획 변경을 통한 구체적 변화 창조능력 &#48534;고,,
159,단점,업무 외 주인정신 보유 필요,,
160,단점,업무에 대해 항상 투덜거리고 자리에 잘 없음,,
161,장점,도전정신과 열정을 갖고 업무에 몰입합니다,,
162,장점,본인 일에 전문성과 책임감을 갖고 일합니다,,
163,장점,업무를 해내려는 태도,,
164,장점,"큰 목소리를 내실때도 있으시지만 평상시 후배 및 동료들에게 많은 웃음을 주시는 분위기 메이커이심, 맡은 업무에는 소홀함 없이 최선을 다하는 모습을 보여주심",,
165,장점,"꾸준한 자기관리, 진취적 업무추진, 소통",,
166,단점,전문적인 역량은 우수하나 업무에 대한 관삼이 부족함,,
167,단점,성과에대한 고민이 많아 스스로 돌봄이 부족합니다,,
168,단점,오래오래 건강하세요,,
169,장점,맡은 업무에 최선을 다하며 문제점을 보완하는 등의 업무실행력이 우수,,
170,장점,업무의 유도리가 뛰어납니다,,
171,장점,업무에 열정적으로 임하며 맡은 업무에 높은 전문성 가짐,,
172,장점,폭넓은 지식과 해당분야의 전문지식으로 신속하고 정확한 업무처리방향 제시,,
173,장점,솔선수범하며 대인관계가 좋음,,
174,장점,"평소 시차근무도 아닌데, 07시30분에 이른 출근함",,
175,장점,주요 변전업무 의견 및 방향제시 등 대구본부 변전분야 길라잡이 역할을 수행하여 전력설비 고장예방에 기여,,
176,단점,하고자 하는 의지가 있으나 업무 습득능력이 다소 떨어짐,,
177,단점,업무지식부족 / 고집부림,,
178,장점,폭 넓은 지식으로 업무를 능숙히 처리합니다,,
179,장점,"부드럽고 온화한 성품과 어조로 직원들을 리드하며, 수평적인 부서분위기 조성으로 직원들이 온전히 일에 집중하는 문화를 형성",,
180,단점,"특별히 보완할 점은 보이지 않으나, 건강을 많이 챙겼으면 좋겠습니다",,
181,장점,주어진 일을 추진하려는 의지가 있음,,
182,장점,"구성원들의 어려운 문제해결에 적극적 지원, 구성원들이  업무역량을 발휘할 수 있도록 밝은 팀분위기 조성에 앞장섬",,
183,단점,항상 친절하게 민원인을 대하고 동료들과도 잘 지냄,,
184,단점,본인이 업무한 것 만큼 어필하는 자세가 필요합니다,,
185,단점,부서에 적응하지 않은 느낌,,
186,장점,"책임감과 적극적인 업무태도, 친절한 고객응대",,
187,장점,업무 마스터로 타의 모범이 되기에 충분함,,
188,장점,폭 넓은 업무지식으로 민원해결 능력이 탁월함,,
189,단점,편애하는 마인드와 수직적 업무지시,,
190,단점,"업무 적극성, 해당업무 전문성",,
191,장점,업무 추진할 때 도전정신과 열정을 가지고 업무에 몰두,,
192,단점,민원응대 적극성이 조금 부족하다,,
193,장점,"원활한 업무처리, 적극적인 자세",,
194,장점,회사에 대한 열정이 뛰어 납니다,,
195,단점,업무 역량과 집중력이 매우 좋음,,
196,장점,모든 일에 타의 모범이 됩니다,,
197,장점,"일잘알,  다정하시고 일을 너무잘하신다",,
198,단점,너무나 열심히 일을 합니다,,
199,단점,건강과 행복한 직장 생활 여건 마련이 필요,,
200,장점,부족한 점은 많지만 긍정적인 마인으로 업무를 하려 합니다,,
201,장점,업무능력이 뛰어나고 매사 적극적임,,
202,장점,협업능력을 가지고 성실합니다,,
203,장점,동료를 잘 챙겨줍니다,,
204,단점,ㅇㅁㄴㄹㅇㄹㅁㄴㅇㅇ,,
205,장점,업무수행에 열정적 소통이 잘 됨,,
206,장점,어렵거나 모르는것이 있으면 항상 밝은 모습으로 잘 알려주심,,
207,장점,신속한 의사결정능력이 좋으며 책임성이 강하여 업무를 완벽하게 끌고갈수 있음,,
208,단점,대화할 기회가 많았으면 합니다,,
209,장점,구성원들과 의사소통이 뛰어남,,
210,단점,열정과 목표에 집중하다보니 주변을 잘 돌아보지 못하는 경우가 있음,,
211,장점,늘 배려심이 깊고 협조적임,,
212,단점,좀더 적극적으로 자기 의견을 말했으면 좋겠다,,
213,장점,"최신 지식 정보를 꾸준히 학습하며, 업무처리가 우수함",,
214,장점,업무에 열정적이고 스마트하고 신속한 업무처리와 지시,,
215,장점,밝은 미소와 업무 협조가 우수함,,
216,장점,영어를 잘하여 해외사업에 도움이 됨,,
217,단점,딱히 보안할 사항이 없음,,
218,단점,모든면에 특별히 보완점이 없음,,
219,단점,보완의 필요점을 모르겠습니다,,
220,단점,목표달성을 위해 과감한 시도와 확신으로 실패를 두려워하지않음,,
221,단점,근태불량 한 마디로 정의됨,,
222,단점,보완필요점에 대해서는 없습니다,,
223,단점,꾸준한 자기관리로 역량 개발 필요,,
224,단점,"직장에서의 지위 또는 관계 우위 이용, 부적절한 행위",,
225,단점,고집이 강하여 조직원들과 융화가 어려움,,
226,단점,"업무에 대한 열의, 섬세한 업무처리",,
227,장점,직원들과 화합하고 소통하는 모습이 장점,,
228,장점,부드러운 리더십으로 문제해결에 앞장서고 있습니다,,
229,단점,여쭤보지 않은 사항에 대하여도 길게 이야기 해줌,,
230,장점,업무 경험이 많고 전문성이 있어 문제해결 능력이 우수함,,
231,단점,"업무관련 지식을 지속적으로 업데이트하여 전문성을 강화 필요, 시간관리 방법을 보완하여 업무 처리 속도를 높이면 좋겠습니다",,
232,단점,다양한 사람의 의견 경청 필요,,
233,장점,맡은바 책무를 다함,,
234,장점,"부드러운 카리스마, 뛰어난 업무지식 및 열의",,
235,장점,공정한 업무처리,,
236,장점,도전적 목표 설정과 적극전인 마인드로 업무를 처리함,,
237,장점,자기계발을 꾸준히 하며 부서원들과 적극적인 의사소통을 함,,
238,장점,"조직목표 관리능력이 있으며, 조직발전에 많은 기여를 하고 있다",,
239,장점,"수평적 의사소통과 부드러운 리더십으로 부서원들을 이끌며, 부서원들과 원활한 관계 유지",,
240,장점,동료들과의 소통 능력이 뛰어납니다,,
241,단점,"건강관리, 휴가일수 소모 필요",,
242,단점,실무지식부족,,
243,단점,창의적 업무에 도전하려고 노력함,,
244,장점,청렴하고 열정적인 리더십 전문가,,
245,단점,주변직원과 부드러운 의사소통 필요,,
246,단점,수평적 동료관계 형성 필요,,
247,장점,성실하며 현장에서의 진중함이 돋보임,,
248,단점,똑같은 업무를 수행해도 어떨 때는 ok 어떨 때는 반려함,,
249,단점,정확한 소통이 부족함,,
250,단점,"업무열정 미흡, 창의성 부족",,
251,장점,"민원, 업무상 어려움 등에 대해 직원들에게 도움을 주려고 노력하십니다",,
252,단점,행사를 통한 의사소통,,
253,장점,꼼꼼하며 부드러운 리더십이 있음,,
254,장점,뛰어난 판단력과 업무실행력을 바탕으로 성과를 창출하십니다,,
255,단점,부서간 협업 및 월활한 의사소통 계속유지,,
256,단점,업무 정확성이 높고 꼼꼼하나 속도가 느린편,,
257,장점,자기중심적사고팀장의 업무지시 거절,,
258,장점,업무에 대한 이해도가 뛰어나 맡은 일을 잘해냅니다,,
259,장점,솔선수범하며 매사의 모범이된다,,
260,장점,착하고 성실하고 업무에 대한 이해도가 높음,,
261,단점,딱히 보완이 필요한 사항이 없습니다,,
262,장점,민원인과 소통능력이 뛰어나 민원해결과 문제해결에 능함,,
263,장점,다양한 부분에서 열의를 보임,,
264,단점,업무회피함,,
265,단점,"배려심이 깊고, 매사에 솔선수범함",,
266,단점,게이트키퍼(,,
267,단점,조직내 사기 진작 능력 부족,,
268,장점,직원들에게 너무 보탬이 되는 좋은 팀장님,,
269,장점,협업능력이 월등하며 맡은 업무에 최선을 다함,,
270,장점,업무를 공정한 방향으로 처리해주시는 것 같다,,
271,장점,업무에 열의를 가지고 업무에 임함,,
272,단점,"보안할 점을 잘 모르겠다,",,
273,단점,분석능력을 향상시킬 필요가 있음,,
274,장점,모든 업무에 모범이 되시는 분이시며 규정을 정확히 일을 하시어 동료의 모범이 됩니다,,
275,장점,후배들과 원활한 소통,,
276,단점,그런데 잘 느껴지지 않습니다,,
277,단점,전문지식이 부족하고 이해도가 낮음,,
278,장점,뜨거우 열정과 창의적 사고를 바탕으로 최고의 성과를 창출합니다,,
279,장점,매사에 열정적으로 근무함,,
280,장점,할당된 업무에 열정적임,,
281,단점,타 부서와의 업무 네트워크 형성,,
282,장점,창의적 발상전환을 통해 혁신적 대안 제시,,
283,장점,부서원들을 통솔하는 능력이 뛰어나며 부서원들과 소통 역량 또한 뛰어남,,
284,단점,소극적인 업무처리 방식,,
285,장점,"세밀한 업무검토, 꾸준한 자기계발",,
286,단점,입을 조심하고 술을 줄일 필요가 있습니다,,
287,단점,세심함 부족으로 노치는 것이 있을 수 있음,,
288,단점,상대방의 이해능력으로 보완점 없슴,,
289,단점,다른사람들과의 교류 미흡,,
290,단점,업무에 대한 열의로 다양한 업무 추진 불필요한일 버리기 등으로 경감 필요,,
291,단점,동료 직원과 소통 부재,,
292,장점,업무 전체 큰 그림을 그리고 거기에 따른 세부 업무를 수행하는 전략이 탁월함,,
293,단점,다른 사람에 대한 예절이 부족함,,
294,장점,효율적 업무를 위해 개선점을 파악하고 적용한다,,
295,단점,문제해결 능력과 도전력,,
296,장점,기본적인 업무는 수행함,,
297,장점,항상 직원들의 편에서 서시며 부서를 잘 이끌어 가십니다,,
298,장점,"모든일에 솔선수범 하며, 열정적 입니다",,
299,단점,고객 관점에서의 조언 및 인과관계 파악 미흡,,
300,장점,부드러운 리더십과 신뢰를 바탕으로 한 지사 운영능력,,
301,단점,업무지식이 부족하여 이 부분을 보완해야함,,
302,단점,타부서원들과&#51053; 소통이 필요함,,
303,장점,업무에 대한 전문성이 높고 책임감이 강함,,
304,단점,업무에 대한 열의가 부족하고 전문성도 잘 모르겠습니다,,
305,단점,많은 직원들과 친해질 기회가 없어 아쉽습니다,,
306,장점,침착하시지만 중요한 의사결정시에 명확한 지시를 내리십니다,,
307,장점,"세련된 화법으로 갈등상황을 잘 해결하고, 업무수행 능력이 뛰어남",,
308,장점,조용함 차분함 성실함,,
309,장점,성과기여도 업무열의 전문성 협업능력 윤리의식 강함,,
310,단점,"독불장군식 업무추진, 타인배려심 부족, 주변상황파악력 부족",,
311,단점,타 팀과의 협업 능력 필요,,
312,장점,다방면의 지식과 문제해결능력으로 직원들의 모범이됨,,
313,장점,"조직에 대한 희생정신으로 직접 실무를 하시며 업무에 기여함, 올바른 성품으로 젊은 직원과의 소통을 하려 적극적으로 행동하심",,
314,장점,회사에 대한 무한책임과 주인의식은 물론 유연한 사고와 창의력을 갖춘 인재입니다,,
315,단점,건강관리에 더욱 노력필요,,
316,장점,현장감각 뛰어남,,
317,장점,늘 성실하고시 민원업무에 적극적으로 잘 해결함,,
318,단점,타 부서와 협업에서 아쉬움,,
319,장점,매사에 적극적이고 활발하다,,
320,장점,업무전문성이 뛰어나며 어려운 점들을 함께 해결해주시는 든든한 선배님입니다,,
321,장점,업무에 열정적이며 유연한 사고,,
322,장점,품질분임조 등 회사와 전북전력관리처의 발전을 위한 일은 적극적으로 지원해주십니다,,
323,장점,매사에 업무에 신중함,,
324,장점,맏은바 직무에 최선을 다함,,
325,단점,bbbbbbbaaaaaaaaaaaaddd,,
326,장점,업무 전문성 뛰어난 동료임,,
327,장점,의사소통능력이 좋고 사업소 분위기를 주도함,,
328,장점,적극적이고 긍정적인 마인드로 본인 업무에 충실함,,
329,장점,"업무에 대한 전문지식과 현안 문제 해결 조절 능력이 뛰어나며, 부서간 원만한 업무협의 및 직원들에 대한 배려와 격려을 아끼지 않음",,
330,장점,"남들은 기피하는 업무를 도맡아서 하고, 항상 긍정적인 모습을 보여 동료들의 귀감이 됨",,
331,장점,담당업무를 책임감있게 수행하고 폭넒은 지식 및 경험으로 전문성을 강화함,,
332,단점,모든 일에 적극적으로 임하므로 보완 필요성은 안보임,,
333,단점,부서의 성장에 노력하고 있음,,
334,단점,보완점은 딱히 필요없습니다,,
335,장점,탁월한 친화력을 바탕으로 한 주변 동료들과의 협업능력,,
336,단점,언행을 할 때 좀 더 부드럽게 한다면 좋겠습니다,,
337,단점,"배전분야 최신 지식,정보 동향 파악을 통한 전문역량 강화",,
338,단점,가끔은 좀 더 적극적인 업무 수행 태도가 필요한듯,,
339,장점,목표달성을 위해 매진하며 성실함,,
340,단점,다소 적극성이 부족함,,
341,단점,업무의 추진력이 약간 부족함,,
342,단점,업무처리 속도가 다소 느림,,
343,단점,반말 후배무시 후배존중부족 인성이모자람,,
344,장점,외국어 능력을 바탕으로 비즈니스 회의 능력이 탁월함,,
345,장점,업무수행 능력이 뛰어나고 타인의 모범이 됨,,
346,장점,업무열의가 떨어지고 수동적임,,
347,장점,"성과기여, 업무열의, 전문성",,
348,단점,업무 시간에 바둑 같은 거 인터넷pc로 대놓고 보는 것 그만 했으면 좋겠음,,
349,장점,본인이 담당하는 업무에 대해서 빠른 일처리가 가능함,,
350,단점,ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ,,
351,단점,업무에 더 적극적이었으면 합니다,,
352,장점,"실무와 현장업무에 근면, 성실하심",,
353,단점,업무에대한 열의가 없어보인다,,
354,단점,책임감이 있고 업무능력이 띄어나지만 직원들과의 소통이 부족함,,
355,단점,의견수렴 등의 절차를 다양화하여 반영 기대,,
356,장점,머리가 좋음,,
357,단점,최신 지식 정보를 꾸준히 학습 필요,,
358,장점,솔선수범 구성원 소통,,
359,장점,맡은 업무에 대해서는 처리를 잘함,,
360,장점,활발한 성격으로 부서업무 처리,,
361,장점,지시받은 업무를 신속하게 처리하고 진행사항에 대한 지속적으로 보고하는 것이 장점,,
362,단점,업무지시 불응,,
363,단점,"업무에 관심이 많고, 요청 기한을 적기에 지키는 편",,
364,단점,직원들과 소통의 자리는 부족합니다,,
365,장점,변화에 민감하고 새로운 업무에 대한 적응능력이 좋습니다,,
366,단점,밑은업무에 최선을 다하고 있습니다,,
367,장점,본인의 업무를 꼼꼼하고 세세하게 잘 챙깁니다,,
368,단점,매우 열정적으로 책대로 처리함,,
369,장점,투철한 윤리의식과 청렴성을 바탕으로 부하 직원들의 고충 해결과 내부평가 우수 사업소 달성에 기여,,
370,단점,동료직원들과 소통이 부족함을 느낌,,
371,장점,업무에 열정적으로 성실히 임함,,
372,장점,엄부 관련 자료 수집및 업무능력을 위해 항상 노력한다,,
373,장점,"끈기와 집념으로 목표 달성, 책임감",,
374,장점,강단 있는 조치에 능함,,
375,단점,"다른사람의 조언을 귀기울이지 않음, 배우려는 자세 부족, 소통능력부족,",,
376,장점,간결하고 정확하게 문서 작성을 하고 팀원이 작성한 문서를 보완해주신다,,
377,장점,맡은 업무에 노력을 다함,,
378,장점,"맡은 업무에 열의가 있고, 책임감있게 일처리를 하려고 함",,
379,장점,저압 요금분야에 대한 높은 업무 숙련도,,
380,장점,책임감이 강하면 성실합니다,,
381,장점,항상 솔선수범하는 적극적인 마인드를 가지고 우수한 친화력으로 주변과 소통하며 본인의 업무에 열의를 가짐,,
382,단점,"이런 기다림의 시간이 조금 더디어 보일수는 있으나, 회사 전반적인 수준에서는 모든 직원의 질적 향샹에 도움이 됨",,
383,단점,타부서로 정확한 장단점 파악 어려움,,
384,단점,보고시 요약하는 능력과 핵심 보고 능력이 필요함,,
385,단점,"보완점 필요성 없읍니다,",,
386,단점,원만한 대인관계 협업능력 이해존중관심,,
387,단점,팀장님으로써 완벽해서 직원이 편합니다,,
388,단점,업무에 대한 열정이 남다름,,
389,장점,합리적이고 논리적임,,
390,장점,업무전문성을 가지고 적극적으로 임합니다,,
391,단점,다양한 관점에서의 업무처리 미흡,,
392,장점,현장 경험이 풍부하고 폭넓은 지식과 노하우를 보유하는 있음,,
393,단점,업무적으로 소통을 강화할 필요 있음,,
394,장점,"강직한 성품, 전문적인 업무지식을 바탕으로 진취적인 업무수행능력",,
395,장점,맡은 바 업무 열심히 함,,
396,단점,동료직원간 원활한 교류 및 소통 필요,,
397,단점,문제해결에 강압적인 경향이 있음,,
398,장점,매사에 신중하며 업무전문성이 뛰어나다,,
399,단점,업무수행 능력과 책임감이 뛰어남,,
400,장점,일에 책임감 있고 성실합니다,,
401,장점,업무에 대한 열정과 뛰어난 리더십으로 동부전력지사 성장동력의 큰 힘이 되어주십니다,,
402,단점,시간이 경과해도 계속 그런모습을 보였음 좋을듯하다,,
403,단점,모범적인 모습 보완필요전 없음,,
404,장점,공정한 업무처리를 통해 업무처리 우선순위 결정을 진행합니다,,
405,단점,전문 지식을 동료들에게도 많이 알려주시면 좋을거 같습니다,,
406,단점,적극적인 업무 늘 직원들을 잘 보살펴 주십니다,,
407,장점,친화력이 우수하며 선후배들과의 소통이 뛰어남,,
408,단점,업무 진행상황에 대해서 물어봐도 답변 주는데 한 세월 걸린다,,
409,단점,"무책임, 무능력, 소통부재, 민원유발, 내부소통부재, 권위적, 고함지르기, 폭력적, 갑질",,
410,장점,새로운 도전의식과 솔선수범 자세로 본인과 타직원 업무에 몰입하도록 하여 조직목표 달성에 이바지하고 있음,,
411,장점,"기술습득력이 우수하고, 타부서와의 업무협업이 뛰어남",,
412,장점,업무를 적극적으로 처리하고 타부서원과의 소통이 매우 좋음,,
413,장점,타부서와도 협력을 잘함,,
414,단점,시간과 업무지식을 혀업,,
415,장점,맡은 일에 관심이 많고 신경을 많이 쓰려고 노력합니다,,
416,장점,"우선순위 정하여 해결책 제시, 인과관계 파악 능력 우수",,
417,장점,"추진력,소통능력이 뛰어남",,
418,장점,경험과 지식이 풍부하여 직원들의 모범적임,,
419,장점,"업무를 세심하고 꼼꼼하게 처리하며, 업무성과가 매우 뛰어남",,
420,장점,매사 긍정적인 모습,,
