no,칸,문장,판정(positive/negative/neutral),메모
245,장점,업무를 열심히 한다,,
246,장점,직무 범위 내에서 상사의 관리감독 없이 맡겨진 일을 수행한다,,
247,장점,"업무처리, 연구개발, 대인관계",,
248,장점,본연의 업무를 성실하게 수행함,,
249,장점,"약관, 지침 등의 해박한 지식과 유연한 사고방식으로 어떠한 문제를 해결하는데 특히 뛰어나며, 다각적으로 상황을 분석하고 회사에 이익을 줄 수 있는 것에 대해 끊임없이 생각함",,
250,장점,대외업무 추진능력 우수,,
251,단점,구시대적 사고를 보유,,
252,장점,업무에 솔선수범하고 적극적으로 임합니다,,
253,단점,특별히 보완할 사항은 없음,,
254,장점,개인 업무 능력은 있으나 부서에 협업보다는 개인주의를 유발함,,
255,장점,자신이 주어진 일을 성실히 수행하고 책임짐,,
256,장점,솔선수범하는 자세로 사업소를 이끌어감,,
257,단점,특별한 보완점 없음,,
258,장점,부드러운 리더쉽으로 부서원을 잘 이끌어주심,,
259,장점,성품이 좋고 업무에 관한 열의가 뛰어남,,
260,단점,별로 보완할 점 없습니다,,
261,단점,타부서와 교류 필요,,
262,단점,조금더 타인과 어울릴 필요가 있음,,
263,장점,타의 모범이 되며 솔선수범 함,,
264,단점,보완 필요성이 없습니다,,
265,단점,보완필요사항이 없습니다,,
266,단점,폭 넓은 경험으로 현장에서 보다 가르침을 주시면 좋겠습니다,,
267,단점,업무에 대한 고집스러운 부분이 있어 당황스럽게 하는경우가 있습니다,,
268,장점,업무에 대한 열의가 상당하다,,
269,단점,보완필요점은 음 무난합니다,,
270,단점,항상 솔선수범하는 자세 귀감이 됩니다,,
271,장점,항상 밝은 모습으로 부서내 분위기를 밝게 조성하며 팀원간 의사소통 능력이 뛰어남,,
272,장점,지장전주 업무에 대한 원활한 민원응대를 통한 모습이 보기 좋습니다,,
273,단점,보완 필요점 미발견,,
274,장점,새로운 도전의식과 솔선수범 자세로 업무에 몰입하며 조직의 목표를 달성한다,,
275,단점,보완필요점이 보이지 않습니다,,
276,단점,업무외적으로 얼굴을 볼 수 있는 점,,
277,단점,특별히 보완필요점을 찾기 어려움,,
278,단점,맡은바 업무에 충실합니다,,
279,단점,부서간 협업할 시스템이 부족함,,
280,장점,최신 지식·정보를 꾸준히 학습,,
281,단점,업무처리를 할때 팀내업무를 타부서에 전가하고 기본 예의가 필요함,,
282,장점,성격이 밝아 같이 있으면 기분이 좋아짐,,
283,단점,단점은 없습니다,,
284,단점,보완필요점은 없으시다,,
285,단점,현장민원에 너무 적극적이어서 가끔 본인이 스트레스를 받을 수 있을 것 같다,,
286,단점,부서의 공통업무에 관심이 적어 내부성과에 기여하는바가 적음,,
287,단점,보완필요점은 없습니다,,
288,단점,고압적으로 세세하게 지시 감독하는 성향이 강하며,,
289,단점,직원들과 긴밀한 유대관계 요구,,
290,장점,명확한 업무지시와 다년간의 경험으로 쌓인 지식을 통한 업무보완점 제시,,
291,장점,유연하고 구체적인 계획 수립,,
292,단점,업무 시스템을 개선하기 위해 노력,,
293,장점,"수평적 의사소통과 부드러운 리더십으로 문제해결에 앞장서며, 구성원들의 자발적 참여유도",,
294,장점,부드러운 리더쉽과 소통력,,
295,단점,항상 솔선수범으로 후배들을 알려주려고 하시기에 보완점은 없음,,
296,단점,특별한 보완점은 없습니다,,
297,장점,소홀함이 없도록 최선을 다함,,
298,장점,적극적이고 신속한 업무 처리,,
299,단점,가끔은 공감능력이 조금 부족합니다,,
300,장점,본인 맡은일에 잘 적응하고 있어요,,
301,단점,보완필요가 없습니다,,
302,단점,아직 특별한 보완필요점 찾지 못함,,
303,장점,**********,,
304,단점,업무를 묵묵히 수행함,,
305,장점,부드러운 리더십 / 최적의 판단,,
306,단점,없는것 같습니다,,
307,단점,별도 보완사항 없음,,
308,단점,보고서나 문서 작성시 불필요한 수정을 강요함,,
309,장점,특유의 성실함과 책임감으로 임무를 완수함,,
310,장점,어떠한 일이라도 실무자보다 앞장서서 해결을 위해 힘쓰시고 주무팀장님으로서 팀 뿐만 아니라 지사 전체를 위해 노력하십니다,,
311,장점,항상 친절하고 부하 직원 입장에서 많이 생각해주심,,
312,단점,특이 보완사항 없음,,
313,장점,건강을 위해 꾸준히 운동,,
314,장점,후배들과의 소통이 뛰어 나며 신속한 판단을 결정 합니다,,
315,단점,보완필요점이 없다,,
316,단점,특별한 보완사항이 없음,,
317,단점,보완필요사항없습니다,,
318,장점,전문 자격증 보유로 업무향상에 기여,,
319,단점,보완필요점 없습니다,,
320,단점,특별히 보완할 사항은 없음,,
321,단점,보완필요점 없습니다,,
322,장점,유연한 사고와 창의력 탁월한 리더십과 실행력을 겸비한 인재입니다,,
323,장점,조용한 성격이십니다,,
324,단점,여러가지 업무 경험 필요,,
325,장점,수평적 의사소통과 문제 해결에 앞장서는 태도를 보임,,
326,단점,보완필요사항 없습니다,,
327,장점,성실하고 친화력이 좋으며 솔선하는 근무자세로 누구나 함께 근무하고 싶어 하는 직원입니다,,
328,단점,유연한 업무 태도로 업무 해결 능력 개발,,
329,장점,노하우 보유 / 폭넓은 지식 / 업무 능숙함 /,,
330,단점,특별한 점 없습니다,,
331,장점,전문적인 기술로 현장복구 능력이 뛰어남,,
332,단점,자기직무에 대한 이해도가 높음,,
333,장점,부드러운 리더십으로 문제해결,,
334,단점,지사 리더임에도 불구하고 먼저 솔선수범을 행동으로 보여주시어 직원들이 부담스러워 함,,
335,장점,"담당업무에 대한 책임감, 전문성 및 문제해결 능력",,
336,단점,보완하거나 문제점이 없음,,
337,장점,세심한 주변 업무 관리,,
338,단점,보완할 점이 많다고 생각하지 않음,,
339,단점,보완 필용성이 없음,,
340,장점,폭 넓은 지식 및 노하우 보유,,
341,단점,특별하게 보완 필요점 없음,,
342,단점,보완필요점 없습니다,,
343,단점,모든 상황을 충분히 고려할 필요가 있다,,
344,단점,보완사항 없습니다,,
345,단점,보완할 점이 없습니다,,
346,단점,실무경험으로 열심히 노력함으로 보완 불필요,,
347,단점,업무협업능력이 좋으며 대인관계가 좋음,,
348,장점,적극적인 업무자세와 직원간 유대관계가 좋다,,
349,단점,보완할 점이 없습니다,,
350,장점,문제발생시 리더십과 의사소통으로 문제해결에 앞장섭니다,,
351,장점,성실하고 적극적인 업무태도,,
352,단점,업무적 지식이 다소 부족하여 일처리가 깔끔하지 못함,,
353,단점,보완해야할 사항은 없다고 생각됩니다,,
354,단점,협업능력을 조금 더 기르는 것이 좋을 것 같다,,
355,장점,맡은바 책임을 다함,,
356,장점,"리도십,소통,업무처리능력이좋습니다",,
357,단점,직원간 소통능력 증진 필요,,
358,단점,별다른 특이사항 없음,,
359,장점,"조직목표 달성을 위해 적극적인 마인드로 업무에 임하고, 폭넓은 지식을 보유하여 업무에 능숙함",,
360,장점,"상대방의 의견을 경청하고 해결방안 모색,신 구세대간의 소통을 통한 최적안 도출 및 업무효율 향상,",,
361,장점,"맡은 업무에 최선을 다하며, 설계 변경 등 원가 절감 및 업무 개선을 위해 노력함",,
362,장점,부드러운 리더십 / 분위기 주도,,
363,단점,특별하게 보완해야 할 사항 없음,,
364,장점,뛰어난 소통능력으로 맡은 업무에 최선을 다함,,
365,장점,"상,하 직원간 원활한교류및 공정한 업무수행",,
366,장점,유머스러운 부분이 있습니다,,
367,단점,딱히 보완할점이 없음,,
368,장점,업무협업 능력이 뛰어남,,
369,장점,"수평적 의사소통과 부드러운 리더십으로 문제해결에 앞장서며, 구성원들의 자발적 참여를 유도함",,
370,단점,###############,,
371,장점,풍부한 업무 지식과 경험을 바탕으로 전사 지중송전설비 운영 및 제도 개선,,
372,장점,협업능력이 뛰어납니다,,
373,단점,보완필요점이 없습니다,,
374,단점,팀원에게 업무에 대하여 구체적으로 조언하고 지시한다,,
375,장점,"맡은바 업무는 충실히 수행하나 진취적 자세는 없고, 딱딱한 말투는 고쳤으면 좋겠음",,
376,단점,차장으로서 직원들의 의사결정을 도와줄 필요가 있음,,
377,장점,업무 처리 능력,,
378,장점,항상 적극적으로 업무에 임함,,
379,장점,주어진 업무에 매우 성실하고 적극적임,,
380,단점,~~~~~~~~,,
381,장점,서류업무들을 도맡아서 잘함,,
382,장점,"분위기 주도, 창의적 도전 격려",,
383,단점,타 분야에 대한 사고확대 필요,,
384,장점,"수직적인 구조보다 수평적인 사고를 지향하며, 모두의 이야기를 경청합니다",,
385,장점,항상 밝은 모습으로 진지하게 업무에 임함,,
386,단점,보완 필요점이 따로 없습니다,,
387,단점,특별이 없는것 같음,,
388,장점,"팀원들과의 협업을 중요하게 생각하며, 팀의 목표를 위해 노력합니다",,
389,장점,업무 전문지식이 뛰어나며  업무능력이 탁월,,
390,장점,책임감있고 열정적 업무,,
391,장점,부드럽고 유연한 업무처리,,
392,단점,업무 처리가 서툴고 다양한 이해관계 조정 능력 부족,,
393,단점,"술마신다고 휴가가 잦음, 회사를 놀러다님, 자리를 자주 비우고 순시핑계로 놀러다님",,
394,단점,딱히 보완할점이 없습니다,,
395,단점,자리가 멀어서 잘모르겠음,,
396,단점,커뮤니케이션 능력을 향상할 필요가 있음,,
397,장점,도전적 목표설정하여 과감한 도전을 통해 업무의 효율성 향상,,
398,단점,기존 관행에 얽매이지 않는다,,
399,단점,업무에 관해서 완벽하심,,
400,장점,순회진단팀으로 변전소 구석구석 소소한 것까지 챙김,,
