id,sentence_text,kote_pos,kote_neg,kote_neutral,raw_model_label,applied_rule,corrected_label,override_score,is_last,total_sentences,model_label_at_capture
447,ㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇ,0.3464,0.0803,0.5733,neutral,neutral_dominant,neutral,0.0,True,1,neutral
448,"리더십, 의사소통 능력",0.3074,0.2127,0.4799,neutral,neutral_dominant,neutral,0.0,True,1,neutral
445,목표를 위한 구체적 전략 제시,0.2307,0.1319,0.6374,neutral,neutral_dominant,neutral,0.0,True,1,neutral
446,구성원들의 자발적 참여를 유도함,0.2924,0.0544,0.6532,neutral,neutral_dominant,neutral,0.0,True,1,neutral
444,조직이 추구하는 업무방향 이해,0.319,0.0387,0.6423,neutral,neutral_dominant,neutral,0.0,True,1,neutral
443,아직 정확히 알 수 없습니다,0.1052,0.5722,0.3226,negative,rule4_default,negative,-0.467,True,1,negative
442,"자기개발과 배우고자 하는 의지, 학구열이 높음",0.3795,0.1771,0.4434,neutral,neutral_dominant,neutral,0.0,True,1,neutral
441,"리더십, 업무전문성, 창의력",0.5096,0.3169,0.1736,positive,rule3_last_low,negative,-0.8265,True,1,negative
439,목표를 위한 구체적인 전략제시 및 조직비전 달성,0.4563,0.0577,0.486,neutral,neutral_dominant,neutral,0.0,True,1,neutral
440,변환부 직원들과  의사소통 및 설비 문제해결에 적극적으로 참여할 수 있도록 유도,0.4112,0.0474,0.5414,neutral,neutral_dominant,neutral,0.0,True,1,neutral
438,전문적인 지식을 기반으로 업무를 수행함,0.4032,0.0356,0.5612,neutral,neutral_dominant,neutral,0.0,True,1,neutral
437,수평적 의사소통 및 문제해결,0.2489,0.0315,0.7196,neutral,neutral_dominant,neutral,0.0,True,1,neutral
436,업무 추진 시 체계적으로 지시를 함,0.2316,0.0393,0.7291,neutral,neutral_dominant,neutral,0.0,True,1,neutral
435,[성과지향] 도전적 목표를 설정하고 사업비용 절감 등 핵심성과 도출을 이끌어 냄,0.3471,0.0365,0.6164,neutral,neutral_dominant,neutral,0.0,True,1,neutral
434,모든 활동에 적극적이고 의사소통에 자발적 참여 유도,0.4003,0.0395,0.5602,neutral,neutral_dominant,neutral,0.0,True,1,neutral
433,성과지향적인 모습으로 가능한 자원 최대 동원하여 성과를 극대화 하려고 노력함,0.4129,0.0344,0.5527,neutral,neutral_dominant,neutral,0.0,True,1,neutral
432,"건설본부 내 소수 직군인 토목, 건축 관련 업무에 대한 이해도 높음(민원)",0.4042,0.0333,0.5626,neutral,neutral_dominant,neutral,0.0,True,1,neutral
431,잘 모르겠습니다,0.0437,0.9016,0.0547,negative,rule4_default,negative,-0.8579,True,1,negative
430,의견이 없습니다,0.0927,0.5576,0.3497,negative,rule4_default,negative,-0.4649,True,1,negative
429,"성과기여, 업무열의, 전문성",0.3672,0.549,0.0838,negative,rule3_last_low,negative,-0.9162,True,1,negative
428,성과를 많이 내려고 다양한 사업을 지시함,0.2154,0.1418,0.6428,neutral,neutral_dominant,neutral,0.0,True,1,neutral
427,1111111111111111111111111111111111111111111111111111111,0.1306,0.2293,0.6401,neutral,neutral_dominant,neutral,0.0,True,1,neutral
426,전략 및 계획 변경을 통한 구체적 변화 창조함,0.228,0.0341,0.738,neutral,neutral_dominant,neutral,0.0,True,1,neutral
425,열정적이고 후진 양성에 관심이 많으심,0.3702,0.4254,0.2044,negative,rule3_last_low,negative,-0.7956,True,1,negative
424,업무열의가 매우 높습니다,0.0421,0.9259,0.032,negative,rule4_default,negative,-0.8838,True,1,negative
423,"무난한 업무 처리, 성실한 근무 태도",0.9703,0.0049,0.0248,positive,neutral_keyword,neutral,0.0,True,1,neutral
421,수평적 의사소통이 있습니다,0.2642,0.0544,0.6813,neutral,neutral_dominant,neutral,0.0,True,1,neutral
422,조직이 추구하는 업무방향 이해,0.319,0.0387,0.6423,neutral,neutral_dominant,neutral,0.0,True,1,neutral
420,매사에 신중하고 조심성이 강함,0.4045,0.2793,0.3162,positive,rule3_last_low,negative,-0.6838,True,1,negative
419,업무에 대한 관심이 많음,0.3999,0.2433,0.3567,positive,rule3_last_low,negative,-0.6432,True,1,negative
418,전략 및 계획 변경을 통한 구체적 변화 창조,0.3612,0.0669,0.5718,neutral,neutral_dominant,neutral,0.0,True,1,neutral
417,12111111111,0.3398,0.2261,0.4341,neutral,neutral_dominant,neutral,0.0,True,1,neutral
416,내용없음 내용없음 내용없음,0.0041,0.991,0.0049,negative,rule4_default,negative,-0.9869,True,1,negative
415,잘모르겠습니다,0.0481,0.8267,0.1252,negative,rule4_default,negative,-0.7786,True,1,negative
414,업무처리를 효율적으로 추진,0.4267,0.1157,0.4576,neutral,neutral_dominant,neutral,0.0,True,1,neutral
413,목표를 위한 구체적 전략 제시,0.2307,0.1319,0.6374,neutral,neutral_dominant,neutral,0.0,True,1,neutral
412,임직원과 협업하며 수평적 소통,0.386,0.0326,0.5814,neutral,neutral_dominant,neutral,0.0,True,3,neutral
411,명확한 업무지시,0.0786,0.8587,0.0627,negative,rule4_default,negative,-0.7801,True,1,negative
410,경영 목표를 명확하게 전달하고 해결방안을 제시,0.233,0.5297,0.2373,negative,rule4_default,negative,-0.2967,True,1,negative
409,제대로 만난적이 없습니다,0.0946,0.8106,0.0947,negative,rule4_default,negative,-0.716,True,1,negative
408,"출,퇴근시간 준수",0.3235,0.1484,0.528,neutral,neutral_dominant,neutral,0.0,True,1,neutral
407,수평적 리더십,0.1942,0.2505,0.5554,neutral,neutral_dominant,neutral,0.0,True,1,neutral
405,직원들과의 의사소통,0.1496,0.2685,0.5819,neutral,neutral_dominant,neutral,0.0,True,1,neutral
406,정보보안 및 위해행위 건수 0건,0.1209,0.1771,0.7021,neutral,neutral_dominant,neutral,0.0,True,1,neutral
404,수평적 의사소통,0.1896,0.0696,0.7407,neutral,neutral_dominant,neutral,0.0,True,1,neutral
402,수평적의사소통,0.2753,0.0342,0.6905,neutral,neutral_dominant,neutral,0.0,True,1,neutral
403,수평적인 관계 유지,0.3138,0.0754,0.6108,neutral,neutral_dominant,neutral,0.0,True,1,neutral
401,부하 중심의 쌍방향 커뮤니케이션,0.2535,0.1085,0.6379,neutral,neutral_dominant,neutral,0.0,True,1,neutral
400,기본 업무 이행,0.1999,0.3799,0.4203,neutral,neutral_dominant,neutral,0.0,True,1,neutral
399,비전과 정책을 명확히 제시,0.2815,0.4545,0.264,negative,rule3_last_low,negative,-0.736,True,1,negative
398,잘모르겠습니다,0.0481,0.8267,0.1252,negative,rule4_default,negative,-0.7786,True,1,negative
397,조용하면서 소신있게 문제해결,0.4513,0.0755,0.4732,neutral,neutral_dominant,neutral,0.0,True,1,neutral
396,최신 지식 정보를 꾸준히 학습한다,0.4443,0.0382,0.5176,neutral,neutral_dominant,neutral,0.0,True,1,neutral
395,"부하직원의 의견을 청취하며, 불필요한 회식 등을 하지 않음",0.379,0.1208,0.5002,neutral,neutral_dominant,neutral,0.0,True,1,neutral
393,유연하고 구체적인 계획 수립,0.4349,0.055,0.5101,neutral,neutral_dominant,neutral,0.0,True,1,neutral
394,개별업무에 직접적 통제는 없음,0.1951,0.2161,0.5888,neutral,neutral_dominant,neutral,0.0,True,1,neutral
391,수평적 의사소통으로 구성원들의 자발적 참여를 유도함,0.4583,0.0271,0.5146,neutral,neutral_dominant,neutral,0.0,True,1,neutral
392,성과지향업무열의코칭,0.2126,0.0494,0.7381,neutral,neutral_dominant,neutral,0.0,True,1,neutral
390,지사운영에 대한 적극성 열의,0.278,0.6501,0.072,negative,rule4_default,negative,-0.3721,True,1,negative
389,잘 모르겠음,0.0408,0.911,0.0481,negative,rule4_default,negative,-0.8702,True,1,negative
388,부하직원의 의견을 경청하여 전략적 의사결정을 함,0.2883,0.0507,0.661,neutral,neutral_dominant,neutral,0.0,False,2,neutral
387,사업소 안전업무 다각적으로 시행,0.3074,0.0564,0.6362,neutral,neutral_dominant,neutral,0.0,True,1,neutral
386,"근면, 성실",0.4146,0.0676,0.5177,neutral,neutral_dominant,neutral,0.0,True,1,neutral
385,업무경험을 토대로 진행함,0.3853,0.0412,0.5735,neutral,neutral_dominant,neutral,0.0,True,1,neutral
384,특이사항 및 해당사항 없음,0.0794,0.5148,0.4058,negative,rule4_default,negative,-0.4354,True,1,negative
383,장점은 딱히 잘모르겠습니다 10자 채우라니까 씀니다,0.1237,0.6246,0.2517,negative,rule4_default,negative,-0.5009,True,1,negative
382,업무의 권한 위양과 책임 부여 의식이 강함,0.1471,0.5953,0.2576,negative,rule4_default,negative,-0.4482,True,1,negative
381,비전과 정책을 명확히 제시,0.2815,0.4545,0.264,negative,rule3_last_low,negative,-0.736,True,1,negative
380,보고들어갈때 필요한거만 물어보시고 불필요한 업무지시 X,0.1375,0.4189,0.4436,neutral,neutral_dominant,neutral,0.0,True,1,neutral
379,사업추진 과정에서 사업 적기 가압 달성을 지시하며 열정을 보임,0.3818,0.0447,0.5734,neutral,neutral_dominant,neutral,0.0,True,1,neutral
378,"리더십, 업무전문성, 창의력",0.5096,0.3169,0.1736,positive,rule3_last_low,negative,-0.8265,True,1,negative
377,잘 모르겠습니다,0.0437,0.9016,0.0547,negative,rule4_default,negative,-0.8579,True,1,negative
376,문제해결의지,0.0958,0.885,0.0192,negative,rule4_default,negative,-0.7892,True,1,negative
374,센터 목표를 위한 구체적 전략을 제시함,0.2716,0.0347,0.6937,neutral,neutral_dominant,neutral,0.0,True,1,neutral
375,도전적 목표 설정과 목표를 위한 구체적 전략 제시,0.2664,0.0793,0.6542,neutral,neutral_dominant,neutral,0.0,True,1,neutral
373,도전적 목표를 설정하여 추진함,0.4648,0.0259,0.5092,neutral,neutral_dominant,neutral,0.0,True,1,neutral
372,평소 책임강이 강하며 절차와 기준을 준수하여 업무처리에 임함,0.4132,0.0447,0.5421,neutral,neutral_dominant,neutral,0.0,True,1,neutral
371,환경변화 예측 및 기회로 활용하십니다,0.4501,0.0281,0.5219,neutral,neutral_dominant,neutral,0.0,True,1,neutral
369,사내외 이해관계자와 폭넓은 네트워크 형성,0.4692,0.0268,0.504,neutral,neutral_dominant,neutral,0.0,True,1,neutral
370,"리더십, 의사소통 능력",0.3074,0.2127,0.4799,neutral,neutral_dominant,neutral,0.0,True,1,neutral
368,상대방이 분명하게 이해할 수 있도록,0.1398,0.5223,0.3379,negative,rule4_default,negative,-0.3825,True,1,negative
367,경영목표를 정확하게 구성원에게 제시하고 이를 달성할 수 있는 실행력을 높이기 위해 가능한 자원지원과 조직선도 등을 추진함,0.3173,0.0415,0.6412,neutral,neutral_dominant,neutral,0.0,True,1,neutral
366,조직 목표 달성을 위해 노력,0.3401,0.1076,0.5523,neutral,neutral_dominant,neutral,0.0,True,1,neutral
365,특수사업소 비전과 정책을 명확히 제시,0.3638,0.1709,0.4653,neutral,neutral_dominant,neutral,0.0,True,1,neutral
364,같이 근무를 안해서 모름,0.0324,0.8399,0.1276,negative,rule4_default,negative,-0.8075,True,1,negative
363,리더쉽 및 리드쉽 함양,0.5191,0.3239,0.157,positive,rule3_last_low,negative,-0.843,True,2,negative
362,명확한 업무지시 및 업무개선에 대한 열정,0.1836,0.7679,0.0485,negative,rule4_default,negative,-0.5843,True,1,negative
361,도전적 목표 설정,0.2795,0.056,0.6645,neutral,neutral_dominant,neutral,0.0,True,1,neutral
360,특별히 서술할 내용 없음,0.1566,0.4743,0.3691,negative,rule4_default,negative,-0.3177,True,1,negative
359,예상치 못한 문제 상황에서도 대안을 제시,0.2238,0.5589,0.2174,negative,rule4_default,negative,-0.3351,True,1,negative
358,"상대방의 이해,",0.3037,0.5902,0.1061,negative,rule4_default,negative,-0.2865,True,1,negative
357,"업무적 관심, 타부서 업무협조",0.1345,0.7023,0.1631,negative,rule4_default,negative,-0.5678,True,1,negative
356,구성원들의 자발적 참여를 유도한다,0.4066,0.0498,0.5436,neutral,neutral_dominant,neutral,0.0,True,1,neutral
355,"예민, 열정, 과다",0.2671,0.2723,0.4607,neutral,neutral_dominant,neutral,0.0,True,1,neutral
354,목표를 달성할 수 있도록 함,0.4762,0.039,0.4848,neutral,neutral_dominant,neutral,0.0,True,2,neutral
353,업무 중 혼란이 없도록 실무자들에게 정확한 업무지시를 함,0.3566,0.4076,0.2358,negative,rule4_default,negative,-0.051,False,2,negative
352,직원의 동기부여에 집중함,0.368,0.0946,0.5374,neutral,neutral_dominant,neutral,0.0,True,1,neutral
351,보완필요점이 전혀 없습니다,0.3652,0.4628,0.172,negative,rule3_last_low,negative,-0.828,True,1,negative
350,자발적으로 업무를 할 수 있도록 강압적이지 않음,0.2893,0.2548,0.4559,neutral,neutral_dominant,neutral,0.0,True,1,neutral
349,"리더십, 업무전문성, 창의력",0.5096,0.3169,0.1736,positive,rule3_last_low,negative,-0.8265,True,1,negative
348,부서원들과 수평적 관계를 유지하며 고압적인 태도를 보이지 않음,0.321,0.1458,0.5332,neutral,neutral_dominant,neutral,0.0,True,1,neutral
347,조직성과 창출을 위한 업무열의,0.2671,0.5361,0.1968,negative,rule4_default,negative,-0.269,True,1,negative
346,"명확한 업무지시, 수평적 태도",0.4074,0.491,0.1016,negative,rule3_last_low,negative,-0.8984,True,1,negative
345,"협력업체,공사업체,설비제조업체와 폭넓은 네트워크를 형성합니다",0.3182,0.0277,0.6541,neutral,neutral_dominant,neutral,0.0,True,1,neutral
344,목표를 위한 구체적 전략 제시,0.2307,0.1319,0.6374,neutral,neutral_dominant,neutral,0.0,True,1,neutral
343,화합하는 부서 분위기 조성,0.4505,0.0947,0.4547,neutral,neutral_dominant,neutral,0.0,True,1,neutral
342,수평적 의사소통으로 구성원들의 자발적 참여 유도,0.3126,0.0472,0.6402,neutral,neutral_dominant,neutral,0.0,True,1,neutral
340,조직을 위한 목표와 방향 제시,0.4433,0.0562,0.5005,neutral,neutral_dominant,neutral,0.0,True,1,neutral
341,업무 시스템을 개선하기 위해 노력,0.3018,0.1344,0.5638,neutral,neutral_dominant,neutral,0.0,False,2,neutral
338,도전적 목표를 설정함,0.3983,0.0509,0.5507,neutral,neutral_dominant,neutral,0.0,True,1,neutral
339,최신 지식,0.2728,0.0472,0.68,neutral,neutral_dominant,neutral,0.0,False,2,neutral
337,"우선순위에 따른 업무 추진, 업무에 대한 관심이 많음",0.2673,0.0508,0.6819,neutral,neutral_dominant,neutral,0.0,True,1,neutral
336,"청렴성, 공감능력, 어휘력",0.4661,0.3537,0.1802,positive,rule3_last_low,negative,-0.8198,True,1,negative
335,업무 추진 및 민원대응에 있어 적극적 해소 노력,0.421,0.1225,0.4565,neutral,neutral_dominant,neutral,0.0,True,1,neutral
334,세세한 지시 감독하는 성향이 강함,0.3552,0.2271,0.4177,neutral,neutral_dominant,neutral,0.0,True,1,neutral
333,학구열이 높고 자기개발에 힘씀,0.3259,0.1599,0.5143,neutral,neutral_dominant,neutral,0.0,True,1,neutral
332,권위의식이 없음,0.0502,0.906,0.0438,negative,rule4_default,neutral,-0.8558,True,1,negative
331,의사 결정이 빠르다,0.4806,0.339,0.1804,positive,rule3_last_low,negative,-0.8196,True,1,negative
330,개인 업무와 회사 비전 연계,0.3052,0.159,0.5358,neutral,neutral_dominant,neutral,0.0,True,1,neutral
329,안전사고 big-data 분석 예측 알고리즘 개발 핵심성과지표 운영,0.31,0.0383,0.6517,neutral,neutral_dominant,neutral,0.0,True,1,neutral
328,---------------,0.3559,0.2225,0.4217,neutral,neutral_dominant,neutral,0.0,True,1,neutral
327,의사소통을 중시함,0.2213,0.0851,0.6936,neutral,neutral_dominant,neutral,0.0,True,1,neutral
326,목표를 위한 구체적 전략 제시,0.2307,0.1319,0.6374,neutral,neutral_dominant,neutral,0.0,True,1,neutral
325,"명확한 목표제시가 가능하고, 부서원들이 목표에 맞춰서 성과를 낼 수 있도록 방향성 제시 등 명확화",0.3668,0.1041,0.5291,neutral,neutral_dominant,neutral,0.0,True,1,neutral
323,목표를 위한 구체적 전략 제시,0.2307,0.1319,0.6374,neutral,neutral_dominant,neutral,0.0,True,1,neutral
324,수평적 업무지시 및 진취적 업무추진,0.4625,0.0569,0.4806,neutral,neutral_dominant,neutral,0.0,True,1,neutral
321,수평적 의사소통으로 구성원들의 자발적 참여를 유도함,0.4583,0.0271,0.5146,neutral,neutral_dominant,neutral,0.0,True,1,neutral
322,수평적 의사소통과 리더십,0.4267,0.0462,0.5271,neutral,neutral_dominant,neutral,0.0,True,1,neutral
320,수평적 의사소통을 통해 구성원들의 자발적 참여를 유도함,0.4231,0.0289,0.5479,neutral,neutral_dominant,neutral,0.0,True,1,neutral
319,핵심성과 도출을 위해 항시 사고함,0.2496,0.0647,0.6857,neutral,neutral_dominant,neutral,0.0,True,1,neutral
318,다양한 소통채널 운영,0.4442,0.0321,0.5237,neutral,neutral_dominant,neutral,0.0,True,3,neutral
317,도전적 목표 설정,0.2795,0.056,0.6645,neutral,neutral_dominant,neutral,0.0,True,1,neutral
316,필요한 외부 네트워크 형성,0.276,0.0665,0.6575,neutral,neutral_dominant,neutral,0.0,True,1,neutral
315,업무 열의 변화를 모색함,0.3776,0.0835,0.5389,neutral,neutral_dominant,neutral,0.0,True,1,neutral
314,환경변화 예측 및 기회로 활용,0.4827,0.0325,0.4848,neutral,neutral_dominant,neutral,0.0,True,1,neutral
313,넓은 분야에 관심이 많음,0.4301,0.1355,0.4343,neutral,neutral_dominant,neutral,0.0,True,1,neutral
312,"도전적 목표설정, 새로운 도전의식, 창의적 도전 격려, 수직적 업무지시",0.3719,0.0427,0.5854,neutral,neutral_dominant,neutral,0.0,True,1,neutral
311,-----------------,0.3678,0.2165,0.4157,neutral,neutral_dominant,neutral,0.0,True,1,neutral
310,수직적 의사소통과 강력한 상관 마인드로 문제해결을 강요하며 구성원의 수동적 참여를 유도함,0.1146,0.4562,0.4292,negative,neutral_dominant,neutral,0.0,True,1,neutral
309,11111111111111,0.3012,0.2334,0.4654,neutral,neutral_dominant,neutral,0.0,True,1,neutral
308,출세의지가 강하고 회의 시 발언시간이 길다,0.347,0.305,0.348,neutral,neutral_dominant,neutral,0.0,True,1,neutral
307,내용없음 내용 없음 내용 없음,0.0048,0.9892,0.006,negative,rule4_default,negative,-0.9844,True,1,negative
306,업무지침을 명확히 하심,0.4686,0.3673,0.1641,positive,rule3_last_low,negative,-0.8359,True,1,negative
305,강원의 문제점을 알고 해결하기 위한 고민을 하는중이다,0.3985,0.2593,0.3423,positive,rule3_last_low,negative,-0.6578,True,1,negative
304,업무열의 매우 높음,0.0618,0.8809,0.0573,negative,rule4_default,negative,-0.8191,True,1,negative
303,아주 많이 높은 업무 열정,0.4273,0.347,0.2257,positive,rule3_last_low,negative,-0.7743,True,1,negative
302,적극적인 업무개선 의지 및 안전확보 의지,0.0553,0.9394,0.0053,negative,rule4_default,negative,-0.8841,True,1,negative
301,직원들의 의견을 들으려고 많이함,0.3412,0.3399,0.3189,positive,rule3_last_low,negative,-0.6811,True,1,negative
300,업무에 관심이 많음,0.3859,0.2718,0.3424,positive,rule3_last_low,negative,-0.6577,True,1,negative
299,구성원들의 자발적 참여를 유도함,0.2924,0.0544,0.6532,neutral,neutral_dominant,neutral,0.0,True,1,neutral
298,"- 우수 사업소 달성을 위한 업무수행(내부평가, 특허 등)에 성과기여도가 매우 높음",0.3591,0.0335,0.6074,neutral,neutral_dominant,neutral,0.0,True,1,neutral
297,비전을 명확하게 제시,0.2327,0.4217,0.3456,negative,rule3_last_low,negative,-0.6544,True,1,negative
296,"신, 구세대 간의 차이를 이해하며 융합을 통해 조화로운 분위기 형성에 기여",0.4678,0.0229,0.5093,neutral,neutral_dominant,neutral,0.0,True,1,neutral
295,최신 지식·정보를 꾸준히 학습,0.431,0.0249,0.5441,neutral,neutral_dominant,neutral,0.0,True,1,neutral
294,목표를 위한 구체적 전략제시,0.2883,0.235,0.4766,neutral,neutral_dominant,neutral,0.0,True,1,neutral
293,수평적 의사소통으로 구성원들의 자발적인 참여을 유도함,0.4277,0.0269,0.5454,neutral,neutral_dominant,neutral,0.0,False,3,neutral
292,최신 지식정보를 꾸준히 학습,0.4277,0.0253,0.5471,neutral,neutral_dominant,neutral,0.0,True,1,neutral
291,직원의 안녕과 안전에 대한 관심이 많음,0.4407,0.4875,0.0718,negative,rule3_last_low,negative,-0.9282,True,1,negative
290,직원 안전에 대한 중요시 여김,0.3528,0.4791,0.1681,negative,rule3_last_low,negative,-0.8319,True,1,negative
289,타 부서 입장에서 생각,0.1055,0.7201,0.1743,negative,rule4_default,negative,-0.6146,True,1,negative
288,리더십 분위기 주도 소통,0.4064,0.1253,0.4683,neutral,neutral_dominant,neutral,0.0,True,1,neutral
287,직원의 업무능력 향상을 위해 학습조직 등 인재육성에 힘씀,0.2856,0.0747,0.6397,neutral,neutral_dominant,neutral,0.0,True,1,neutral
286,수평적인사 및 업무처리,0.421,0.0661,0.5128,neutral,neutral_dominant,neutral,0.0,True,1,neutral
285,안전관리에 모든역략을 동원하여 현장중심업무를 수행함,0.4623,0.0355,0.5021,neutral,neutral_dominant,neutral,0.0,True,1,neutral
284,도전적목표를 설정하며 성과를 극대화함,0.3608,0.0519,0.5873,neutral,neutral_dominant,neutral,0.0,True,1,neutral
283,"전문성, 업무열의",0.2258,0.7058,0.0685,negative,rule4_default,negative,-0.48,True,1,negative
282,평소 직원들의 업무에 관심이 많고 직접 알아보시려고 하는 솔선수범태도가 강하심,0.3539,0.5922,0.054,negative,rule4_default,negative,-0.2383,False,2,negative
281,문제를 분석하여 핵심 원인을 착고 여러 요인들의 상관관계를 파악한다,0.2617,0.0249,0.7134,neutral,neutral_dominant,neutral,0.0,True,1,neutral
280,상/하 지원간 월활한 교류,0.2197,0.0485,0.7318,neutral,neutral_dominant,neutral,0.0,True,1,neutral
279,수평적인 조직문화를 위해 구성원들과 소통함,0.2507,0.0387,0.7106,neutral,neutral_dominant,neutral,0.0,True,1,neutral
278,직원들 입장에서 생각하고 행동하심,0.0379,0.9594,0.0026,negative,rule4_default,negative,-0.9215,True,1,negative
277,조직 통솔,0.3206,0.1521,0.5273,neutral,neutral_dominant,neutral,0.0,False,2,neutral
276,"상황변화에 대한 인식, 해결책 제시",0.1298,0.7675,0.1027,negative,rule4_default,negative,-0.6377,True,1,negative
275,부서원들과 소통하려는 자세를 지님,0.5123,0.43,0.0577,positive,rule3_last_low,negative,-0.9423,True,1,negative
274,업무처리 우선순위 결정,0.2525,0.0815,0.6659,neutral,neutral_dominant,neutral,0.0,True,1,neutral
273,업무파악 및 확인능력,0.1813,0.1691,0.6496,neutral,neutral_dominant,neutral,0.0,True,1,neutral
272,지사장으로서 직원들에 모벙이 됨,0.1766,0.7945,0.0289,negative,rule4_default,negative,-0.6179,True,1,negative
271,배전에 대한 높은 업무 이해도로 인한 대화 트러블 없음,0.4324,0.1239,0.4437,neutral,neutral_dominant,neutral,0.0,False,2,neutral
270,최신 지식 정보를 꾸준히 학습,0.4644,0.0273,0.5083,neutral,neutral_dominant,neutral,0.0,True,1,neutral
269,우선순위를 정하여 해결책 제시 / 인과관계 파악 / 다양한 관점에서 대안 제시,0.3405,0.1014,0.558,neutral,neutral_dominant,neutral,0.0,True,1,neutral
268,안전을 중요시 한다,0.3331,0.1378,0.5291,neutral,neutral_dominant,neutral,0.0,True,2,neutral
267,안전관리에 대한 관심이 매우 높음,0.2185,0.2999,0.4816,neutral,neutral_dominant,neutral,0.0,True,1,neutral
266,안전중심의 목표를 지향합니다,0.3642,0.0469,0.5889,neutral,neutral_dominant,neutral,0.0,True,1,neutral
265,세세한 업무지시를 통해 관리처의 발전에 힘씀,0.4139,0.0304,0.5557,neutral,neutral_dominant,neutral,0.0,True,1,neutral
264,안전에 무척 철저합니다,0.3499,0.1179,0.5322,neutral,neutral_dominant,neutral,0.0,True,1,neutral
